InventoryId,Store,Brand,Description,Size,SalesQuantity,SalesDollars,SalesPrice,SalesDate,Volume,Classification,ExciseTax,VendorNo,VendorName
1_HARDERSFIELD_1004,1,1004,Jim Beam w/2 Rocks Glasses,750mL,1,16.49,22.20818181818182,1/1/2016,750,1,0.79,12546,JIM BEAM BRANDS COMPANY    
1_HARDERSFIELD_1004,1,1004,Jim Beam w/2 Rocks Glasses,750mL,2,32.98,23.435454545454547,1/2/2016,750,1,1.57,12546,JIM BEAM BRANDS COMPANY    
1_HARDERSFIELD_1004,1,1004,Jim Beam w/2 Rocks Glasses,750mL,1,16.49,24.63545454545455,1/3/2016,750,1,0.79,12546,JIM BEAM BRANDS COMPANY    
1_HARDERSFIELD_1004,1,1004,Jim Beam w/2 Rocks Glasses,750mL,1,14.49,25.808181818181822,1/8/2016,750,1,0.79,12546,JIM BEAM BRANDS COMPANY    
1_HARDERSFIELD_1005,1,1005,Maker's Mark Combo Pack,375mL 2 Pk,2,69.98,27.35363636363637,1/9/2016,375,1,0.79,12546,JIM BEAM BRANDS COMPANY    
1_HARDERSFIELD_1005,1,1005,Maker's Mark Combo Pack,375mL 2 Pk,1,34.99,24.808181818181822,1/15/2016,375,1,0.39,12546,JIM BEAM BRANDS COMPANY    
1_HARDERSFIELD_1005,1,1005,Maker's Mark Combo Pack,375mL 2 Pk,1,34.99,21.899090909090916,1/22/2016,375,1,0.39,12546,JIM BEAM BRANDS COMPANY    
1_HARDERSFIELD_1005,1,1005,Maker's Mark Combo Pack,375mL 2 Pk,1,34.99,18.626363636363642,1/30/2016,375,1,0.39,12546,JIM BEAM BRANDS COMPANY    
1_HARDERSFIELD_10058,1,10058,F Coppola Dmd Ivry Cab Svgn,750mL,4,59.96,14.790000000000003,1/5/2016,750,2,0.45,2000,SOUTHERN WINE & SPIRITS NE 
1_HARDERSFIELD_10058,1,10058,F Coppola Dmd Ivry Cab Svgn,750mL,1,14.99,,1/6/2016,750,2,0.11,2000,SOUTHERN WINE & SPIRITS NE 
1_HARDERSFIELD_10058,1,10058,F Coppola Dmd Ivry Cab Svgn,750mL,1,14.99,,1/8/2016,750,2,0.11,2000,SOUTHERN WINE & SPIRITS NE 
1_HARDERSFIELD_10058,1,10058,F Coppola Dmd Ivry Cab Svgn,750mL,1,14.99,,1/10/2016,750,2,0.11,2000,SOUTHERN WINE & SPIRITS NE 
1_HARDERSFIELD_10058,1,10058,F Coppola Dmd Ivry Cab Svgn,750mL,1,14.99,,1/19/2016,750,2,0.11,2000,SOUTHERN WINE & SPIRITS NE 
1_HARDERSFIELD_10058,1,10058,F Coppola Dmd Ivry Cab Svgn,750mL,3,44.97,,1/22/2016,750,2,0.34,2000,SOUTHERN WINE & SPIRITS NE 
1_HARDERSFIELD_10058,1,10058,F Coppola Dmd Ivry Cab Svgn,750mL,2,29.98,,1/23/2016,750,2,0.22,2000,SOUTHERN WINE & SPIRITS NE 
1_HARDERSFIELD_10058,1,10058,F Coppola Dmd Ivry Cab Svgn,750mL,1,14.99,,1/25/2016,750,2,0.11,2000,SOUTHERN WINE & SPIRITS NE 
1_HARDERSFIELD_10058,1,10058,F Coppola Dmd Ivry Cab Svgn,750mL,1,14.99,,1/29/2016,750,2,0.11,2000,SOUTHERN WINE & SPIRITS NE 
1_HARDERSFIELD_1006,1,1006,Jim Beam Candy Cane 4/50mLs,50mL 4 Pk,1,3.99,,1/29/2016,50,1,0.05,12546,JIM BEAM BRANDS COMPANY    
1_HARDERSFIELD_10062,1,10062,Terroirs du Rhone,750mL,1,8.99,,1/1/2016,750,2,0.11,10754,PERFECTA WINES             